umn_plantID,common_name,scientific_name,height,spread,form,seasonal_interest,seasonal_interest_specific,flower_color,landscape_use,light,zone,soil,notes
176,Common Hackberry,Celtis occidentalis,75 ft,60 ft,Open; Upright; Vase-like, ,Green summer foliage turns yellow in fall., ,Native; Natural planting; Shade tree; Street tree,Full sun,"2, 3, 4, 5, 6, 7",Adaptable; Prefers well-drained; Tolerates alkaline; Tolerates dry,Corky rough bark. Insignificant flowers give way to round
853,Common Hoptree,Ptelea trifoliata,20 ft,15 ft,Rounded, ,Fragrant flowers - yellow-green fall color, ,Natural planting,Full sun; Part sun,"4, 5, 6, 7, 8, 9", ,Frequently mulitstemmed and suckering - bitter fruit was used as substitute for hops in brewing beer
673,Common Ninebark,Physocarpus opulifolius,9 ft,9 ft,Rounded,Spring; Fall,May white flowers. Fall yellow foliage,White,Border; Foundation planting; Hedge; Native; Natural planting; Screen,Full sun; Part sun,"2, 3, 4, 5, 6, 7",Adaptable,Blooms on old wood.
2535,Common Polypody,Polypodium virginianum,12 in,12 in,Mound,Early summer; Mid-summer; Late summer,Fern develops along a horizontal rhizome, ,Native; Natural planting; Rock garden; Woodland garden,Full shade; Part shade; Part sun,"3, 4, 5, 6, 7, 8",Prefers evenly-moist; Prefers high organic matter; Tolerates dry; Tolerates poor; Tolerates sandy soil,Rich woods and open woods usually on rocks or boulders
1139,Common Purple Lilac,Syringa vulgaris,15 ft,12 ft,Upright, ,Very fragrant purple flowers in spring with blue green foliage.,Purple,Border; Cutting; Hedge; Pollinator garden; Screen,Full sun,"2, 3, 4, 5, 6, 7",Prefers well-drained; Tolerates alkaline,Traditional  old-fashioned lilac. Good for pollinators.
353,Common Smokebush,Cotinus coggygria,10 ft,10 ft,Upright, ,Blooms begin in June and continue throughout the season. Deep green foliage turns red/purple in fall.,Pink,Border; Foundation planting,Full sun,"4, 5, 6, 7, 8",Adaptable; Prefers well-drained; Tolerates alkaline; Tolerates dry,"Tiny pink flowers have silver hairs that cause clumps of blooms to look ""smoky"". Dieback shrub in Zone 4. Blooms on new wood."
1793,Common Snowdrop,Galanthus nivalis,10 in,4 in,Upright,Early spring; Mid-spring,Small;  white;  nodding flowers usually emerge before snow melts in spring.,White,Border; Natural planting,Full sun; Part shade; Part sun,"3, 4, 5, 6, 7",Adaptable; Tolerates dry,Can be planted under trees; tolerates dry shade conditions.
1775,Common strawberry,Fragaria virginiana,12 in,12 in, ,Early summer; Mid-summer,Wild strawberry; with small but edible fruit,White,Attract wildlife; Edible landscape; Fruit; Ground cover; Native; Natural planting; Woodland garden,Full sun; Part sun,"3, 4, 5, 6, 7", ,One of two species hybridized to produce garden strawberry. Other names: Virginia strawberry
2346,Common Sundrops,Oenothera tetragona,18 in,24 in,Mound,Early summer;      Late spring;      Mid-summer,Leaves are dark green and turn reddish purple in fall,Yellow,Border,Full sun,"4, 5, 6, 7, 8",Adaptable, 
1166,Common White Lilac,Syringa vulgaris var. alba,15 ft,12 ft,Upright, ,Attractive blue-green foliage with single white fragrant flowers,White,Border; Hedge; Pollinator garden; Screen,Full sun,"2, 3, 4, 5, 6, 7",Prefers well-drained; Tolerates alkaline,Hardy and vigorous grower. The white version of the old-fashioned favorite. Rarely to never fed on by Japanese beetles. A suckering habit makes this a good choice for hedging or screening. Good for pollinators.
1281,Compact American Cranberrybush Viburnum,Viburnum trilobum,5 ft,8 ft,Mound,Spring; Fall; Winter,May white flowers. Fall red foliage and fruit. Winter red fruits persist,White,Border; Foundation planting,Full sun; Part sun,"2, 3, 4, 5, 6, 7",Prefers evenly-moist; Tolerates alkaline, 
1836,Compact Baby's Breath,Gypsophila paniculata,18 in,18 in,Rounded;      Upright,Mid-summer;      Late summer;      Early fall, ,White,Border;      Drying;      Cutting,Full sun,"3, 4, 5, 6, 7",Prefers well-drained;     Prefers alkaline, 
1270,Compact European Cranberrybush Viburnum,Viburnum opulus,6 ft,8 ft,Compact; Rounded; Upright, ,June white flowers; fall red fruits which persist into winter, ,Border; Foundation planting,Full sun; Part sun,"3, 4, 5, 6, 7, 8",Adaptable; Tolerates alkaline,More spreading than V. trilobum compactum.
445,Compact PeeGee Hydrangea,Hydrangea paniculata,6 ft,7 ft,Rounded, ,Conical panicles of white flowers emerge mid-late summer; blooms persist and turn pink/bronze in fall. Leave dried flowers on plant for winter interest.,Pink; White,Border; Foundation planting,Full sun; Part sun,"3, 4, 5, 6, 7, 8",Prefers well-drained; Tolerates alkaline,A compact form of PeeGee Hydrangea. Good choice for foundation plantings and borders. Blooms on new wood.
1048,Compact Purple Willow,Salix purpurea,6 ft,8 ft,Compact;     Rounded;     Upright,Summer,Fine textured twigs and bluish foliage, ,Border;      Pollinator garden,Full sun;      Part sun,"3, 4, 5, 6", ,Good for pollinators.
826,Compass Cherry Plum,Prunus besseyi x P. Salicina,8 ft,8 ft, , ,Red fruit- good pollinator - cooking plum used for jams;  jellies;  canning and sauces.,White,Edible landscape;  Fruit,Full sun,"3, 4, 5, 6, 7, 8", ,Early bearing cross that yields fruit the second year after planting. Cherry-plums resulted from crosses made in the early 1900's between Prunus besseyi (sand cherry) and various plums. Good for pollinators.
2834,Compass plant,Silphium laciniatum,96 in,24 in,Clump;      Open;      Upright,Early fall;      Early summer;      Late summer;      Mid-summer,Mature plants have up to 100 flowers open June through September.,Yellow,Attract wildlife;      Cutting;      Focal point;      Native;      Natural planting;      Pollinator garden;      Prairie planting;      Raingarden;      Riparian planting,Full sun,"4, 5, 6, 7, 8, 9",Adaptable,Leaves orient themselves in north-south direction. Long-lived. Birds feed on the nutritious seeds.
254,Comtesse de Bouchard Clematis,Clematis,12 ft,3 ft,Climbing;     Twining,Summer;     Fall, ,Lilac,Focal point;      Fragrance;      Screen,Full sun;      Part sun,"3, 4, 5, 6, 7, 8, 9",Prefers well-drained;     Prefers evenly-moist;     Prefers high organic matter,Flowers are semi-double rose-pink and large.  Yellow stamens. Profuse bloomer.
4,Concolor Fir,Abies concolor,60 ft,24 ft,Pyramidal, ,Blue-green foliage all year., ,Focal point; Screen,Full sun,"3, 4, 5, 6, 7, 8",Adaptable; Prefers evenly-moist; Prefers well-drained; Tolerates dry; Tolerates sandy soil,Does well in S.W. Minnesota. Blue-green needles with lighter colored new growth. Tolerates dry
2752,Concord Grape Spiderwort,Tradescantia x andersoniana,18 in,24 in,Upright,Early summer,Frosty blue foliage. Rich;  purple flowers borne in clusters open up one day at a time and bloom all summer long.,Purple,Border;      Pollinator garden,Full sun;      Part sun,"4, 5, 6, 7, 8",Prefers evenly-moist,Holds up well throughout the growing season. Vigorous grower. Good for pollinators.
120,Concorde Japanese Barberry,Berberis thunbergii,2 ft,3 ft,Rounded, ,An abundance of small;  orange and pink flowers emerge among foliage in spring. Foliage is dark purple and gains color intensity throughout the season. Fall fruit is red and sparse.,Orange; Pink,Border; Foundation planting; Pollinator garden,Full sun,"4, 5, 6, 7, 8",Tolerates alkaline,Good for pollinators. Blooms on old wood.
523,Conical Siberian Larch,Larix russica,30 ft,20 ft,Upright,Winter; Year-round; Spring; Summer; Fall,Light green needles. Larches are a deciduous conifer and lose their needles in the fall., ,Street tree; Windbreak,Full sun; Part sun,"3, 4",Prefers acidic; Prefers evenly-moist; Prefers well-drained,Siberian larch is an excellent windbreak or shelterbelt tree.
1651,Connecticut Yankee Series Delphinium,Delphinium,30 in,24 in,Upright,Early summer,Mixed flower colors,Blue;  Pink;  Purple;  Red;  White,Border;      Pollinator garden,Full sun,"3, 4, 5, 6, 7, 8, 9", ,Good for pollinators.
574,Connell Red Apple,Malus,15 ft,15 ft, ,Spring; Fall,A red blush mutation of Fireside apple. Large size.,White,Edible landscape; Fruit; Pollinator garden,Full sun,"4, 5, 6, 7",Prefers acidic; Prefers well-drained,Excellent for eating or cooking. Distinctive flavor. Fruit keeps well until April or May. Good for pollinators. UMN release 1943. Blooms on old wood. A second apple cultivar is required for cross-pollination (not Fireside).
680,Coppertina Ninebark,Physocarpus opulifolius,6 ft,6 ft,Rounded, ,Pink - white flowers bloom spring to ealry summer. Dramatic orange-sopper spring foliage turns red in summer. Exfoliating bark provide winter interest.,Pink; White,Erosion control; Foundation planting; Hedge; Screen,Full sun; Part sun,"3, 4, 5, 6, 7",Adaptable,Prune as needed immediately after bloom and no later than mid-August. COPPERTINA is less apt to spread by suckering than the species. Plants may be cut close to the ground in winter to rejuvenate. (Source: http://www.missouribotanicalgarden.org). Blooms on old wood.
2306,Coral Reef Bee Balm,Monarda didyma,48 in,48 in,Upright,Late summer;      Mid-summer,Fragrant;  almost florescent coral-colored flowers., ,Attract wildlife;      Border;      Boulevard planting;      Fragrance;      Natural planting;      Pollinator garden,Full sun,"3, 4, 5, 6, 7, 8", ,Introduced by Morden Research Centre in Canada. Habit similar to 'Marshall's Delight'. Good for making tea. Good for pollinators.
1116,Coralberry,Symphoricarpos orbiculatus,5 ft,8 ft,Rounded, ,Prune in early spring so current season's growth can produce flowers and fruit., ,Foundation planting; Natural planting; Pollinator garden,Full sun; Part sun,"4, 5, 6, 7",Prefers well-drained,Purple-red coralberries persist through winter. Good in shade or sun and on bank plantings. A spreading shrub with slender arching branches. Flowers are yellow-white  flushed rose in June or July. Tolerant of most soils. Good for pollinators.
607,Coralburst¨ Crabapple,Malus,15 ft,15 ft, , ,Red spring buds give way to double pink flowers. Fall fruit is reddish-orange. Small foliage is green all season.,Pink; Red,Boulevard planting; Pollinator garden,Full sun,"3, 4, 5, 6, 7",Prefers acidic; Prefers well-drained,Small ornamental tree grafted on a 42-inch standard. Uniform; seldom needs pruning. Canopy is compact and rounded. Good for pollinators. Blooms on old wood.
2692,Cordgrass,Spartina pectinata,84 in,84 in,Clump; Upright,Mid-summer; Late summer; Early fall,Yellow fall foliage,Brown; Tan; Yellow,Attract wildlife; Backdrop; Border; Erosion control; Native; Natural planting; Pollinator garden; Raingarden; Riparian planting; Screen,Full sun,"3, 4, 5, 6, 7, 8, 9",Prefers evenly-moist; Prefers high organic matter; Prefers loam; Tolerates dry; Tolerates sandy soil,Spreads by rhizomes. Forms large colonies. Coarse grass. Gloves required when working with this plant. Warm season perennial.
2170,Corkscrew Rush,Juncus effusus,16 in,12 in,Upright,Mid-spring; Late spring; Early summer; Mid-summer; Late summer,Curly foliage chartreuse in spring turning green in summer, ,Border; Native; Natural planting; Raingarden; Water garden,Part sun,"4, 5, 6, 7, 8", , 
1044,Corkscrew Willow,Salix matsudana,35 ft,25 ft,Oval,Fall;      Summer;      Winter,Summer and fall olive foliage; winter interesting twisted branches, ,Cutting;      Focal point;      Pollinator garden,Full sun;      Part sun,"4, 5, 6, 7, 8",Prefers evenly-moist,Twisted branches and leaves make an interesting conversation piece. The branches make great cut stems. Periodic winter dieback. Good for pollinators.
1593,Cornflower,Centaurea montana,24 in,18 in,Upright,Mid-summer, ,Blue,Border;      Pollinator garden,Full sun;      Part sun,"3, 4, 5, 6, 7, 8",Adaptable;      Tolerates dry,Blue feathery flowers in early summer. Will re-bloom if sheared off after first round of flowering. Good for pollinators.
1313,Coronation Gold Yarrow,Achillea filipendulina,30 in,15 in,Clump; Upright,Early summer; Mid-summer; Late summer, ,Gold,Border; Boulevard planting; Cutting; Drying; Foundation planting; Natural planting; Pollinator garden; Prairie planting,Full sun,"3, 4, 5, 6, 7, 8, 9, 10",Adaptable; Prefers well-drained; Tolerates alkaline; Tolerates dry,Removing old blooms will promote further blooming and encourage new foliage growth. Cutting flowers before pollen develops will retain color when dry.
800,Coronation Triumph Potentilla,Potentilla fruticosa,4 ft,4 ft,Rounded,Fall;      Summer,Gray-green foliage,Yellow,Border;      Pollinator garden,Full sun,"2, 3, 4, 5, 6, 7",Adaptable,Early bloomer. Foliage remains attractive all season. Long blooming period. Good for pollinators.
575,Cortland Apple,Malus,15 ft,15 ft, , ,Medium-sized;  bright red apple with tropical flavor and white flesh.,White,Edible landscape; Fruit; Pollinator garden,Full sun,"4, 5, 6, 7",Prefers acidic; Prefers well-drained,(Ben Davis x McIntosh) New York  1915. Medium size. Sweet to tart
1635,Cosmos - short,Cosmos sulphureus,15 in,10 in,Upright,Mid-summer,1.5 inch flowers, ,Border;     Cutting, ,Annual, ,Does well in poor soils and will re-seed itself. Good for pollinators.
1634,Cosmos - tall,Cosmos bipinnatus,36 in,24 in,Upright,Mid-summer,Lacy airy foliage with variety of flower colors, ,Border;     Cutting, ,Annual, ,Does well in poor soils and will re-seed itself. Cultivars: 'Sonata Mix'
2547,Cotton Cool Lungwort,Pulmonaria,14 in,12 in,Mound,Late spring; Early summer,Clusters of bell-shaped flowers bloom on long stalks above foliage in spring; flowers emerge pink then change to blue. Silver and green foliage makes plant attractive all season.,Blue,Border,Part sun,"3, 4, 5, 6, 7, 8", ,Excellent choice for brightening up shady areas. Will tolerate morning light.
1417,Cotton Tail Sea Thrift,Armeria maritima,8 in,12 in,Spreading,Spring,Dark green foliage and white flowers,White,Border,Full sun;      Part sun,"3, 4, 5, 6, 7, 8", , 
209,Countess of Lovelace Clematis,Clematis,12 ft,3 ft,Climbing;     Twining,Summer;     Fall, ,Purple,Focal point;      Fragrance;      Screen,Full sun;      Part sun,"4, 5, 6, 7, 8, 9",Prefers well-drained;     Prefers evenly-moist;     Prefers high organic matter, 
1466,Country and Western Astilbe,Astilbe x arendsii,18 in,15 in,Mound; Upright,Early summer,Dark green foliage and soft pink flowers,Pink,Border,Full sun; Part sun,"4, 5, 6, 7, 8, 9",Prefers evenly-moist; Tolerates alkaline, 
2371,Couronne D'or Peony,Paeonia,42 in,36 in,Rounded,Early summer,Double ivory-white flowers,White,Border;      Cutting;      Fragrance;      Pollinator garden,Full sun,"3, 4, 5, 6, 7, 8",Prefers evenly-moist,May require staking
361,Cranberry Cotoneaster,Cotoneaster apiculatus,3 ft,5 ft,Spreading;     Rounded,Fall;      Spring,Pink flowers in June. Large bright red berries in late summer and early fall that persist through winter.,Pink,Border;      Boulevard planting;      Foundation planting,Full sun;      Part sun,"4, 5, 6, 7",Prefers well-drained;      Tolerates alkaline, 
1817,Cranesbill,Geranium maculatum,24 in,18 in,Mound,Late spring; Early summer,Loose habit with pale to deep pink or purple flowers.,Pink; Purple,Border; Butterfly garden; Foundation planting; Fragrance; Ground cover; Native; Natural planting; Pollinator garden; Rock garden; Woodland garden,Full sun; Part sun,"3, 4, 5, 6, 7, 8", ,Good for pollinators.
2778,Crater Lake Blue Speedwell,Veronica austriaca spp. Teucrium,12 in,12 in,Upright;     Clump,Mid-summer,"2 to 4"" dark navy blue  racemes",Blue,Border;      Boulevard planting,Full sun;      Part sun,"4, 5, 6, 7, 8", ,Deadhead to promote longer bloom
2844,Cream False Indigo,Baptisia bracteata,24 in,24 in,Compact;      Mound,Early fall;     Early summer;     Late spring;     Mid-spring;     Winter, ,Cream,Attract wildlife;      Foundation planting;      Native;      Natural planting;      Pollinator garden;      Prairie planting;      Raingarden;      Riparian planting,Full sun;      Part sun,"4, 5, 6, 7, 8, 9",Prefers well-drained,Creamy flowers. Seed pods in late summer and into winter.
1840,Creeping Baby's Breath,Gypsophila repens,6 in,18 in,Mound;     Spreading,Early summer, ,White,Border;      Rock garden,Full sun,"3, 4, 5, 6, 7",Prefers well-drained;     Prefers alkaline, 
360,Creeping Cotoneaster,Cotoneaster adpressus var. praecox,1.5 ft,6 ft,Creeping;     Spreading,Fall;      Spring;      Summer,Glossy blue-green summer foliage; fall red foliage;  red fruits.,Pink,Border;     Erosion control;      Rock garden,Full sun;      Part sun,"4, 5, 6, 7",Prefers well-drained, 
2233,Creeping Lilyturf,Liriope spicata,12 in,18 in,Creeping; Mound,Mid-summer; Late summer,Grass-like foliage with tiny lavender flowers on small stalks,Lavender,Border,Full sun; Part sun,"4, 5, 6, 7, 8",Adaptable, 
559,Creeping Mahonia,Mahonia repens,1.5 ft,5 ft, , ,Evergreen foliage is blue-green in summer and purple in winter. Blue-black berries emerge late summer.,Yellow,Ground cover,Full sun; Part sun,"4, 5, 6, 7",Prefers acidic; Prefers well-drained,Kills to snow line most winters in Zone 4. Low growing
2499,Creeping Phlox,Phlox subulata var. atropurpurea,6 in,12 in,Creeping;     Mound,Early summer;      Late spring,Narrow;  needle-like evergreen foliage with dark red flowers,Red,Border;      Pollinator garden,Full sun,"2, 3, 4, 5, 6, 7, 8",Adaptable, 
1039,Creeping Willow,Salix arenaria,2 ft,8 ft,Creeping;     Spreading,Spring, , ,Natural planting;      Pollinator garden,Full sun,"3, 4, 5", ,Ground cover effect. Good for pollinators.
2618,Creeping Zinnia,Sanvitalia procumbens,6 in,18 in,Mound,Mid-summer,Yellow to orange 1-inch blooms look like small zinnias.,Orange; Yellow,Border;     Butterfly garden;     Container;     Cutting;     Ground cover,Full sun,Annual,Adaptable;     Prefers well-drained;     Tolerates dry;     Tolerates sandy soil,Tolerates heat and humidity.
2857,Creeping Zinnia,Zinnia angustifolia,18 in,12 in,Compact,Early fall;     Early summer;     Late fall;     Late summer;     Mid-fall;     Mid-summer,Daisy-like bright range compact annuals. Excellent resistance to fungal diseases.,Orange,Border;     Butterfly garden;     Container;     Cutting;     Pollinator garden,Full sun,Annual,Prefers evenly-moist;     Prefers high organic matter;     Prefers loam;     Prefers well-drained,Series: Cascade Beauties - Crystal - Star.  (Source: http://www.missouribotanicalgarden.org/PlantFinder)
1618,Creme Brulee Tickseed; Creme Brule Coreopsis,Coreopsis,18 in,36 in,Mound,Early summer; Mid-summer; Late summer,Foliage is bright green and threadleaf. Flowers appear both above and below canopy;  which gives plant a fuller look. Blooms throughout growing season.,Yellow,Border; Cutting; Pollinator garden,Full sun; Part sun,"4, 5, 6, 7, 8, 9", ,Introduction from the Blooms of Bressingham program. Cut back midway through growing season to encourage a more compact growth habit and re-flowering. Good for pollinators.
1354,Crème de Cassis Hollyhock,Alcea,72 in,24 in,Upright;     Narrow,Early summer;      Mid-summer;      Late summer,3-4 inch blooms are white with raspberry veining and yellow eye;  single and double flowers,Red;  White;  Pink,Border,Full sun,"2, 3, 4, 5, 6, 7, 8",Prefers evenly-moist;      Prefers well-drained, 
369,Crimson Cloud Hawthorn,Crataegus laevigata,15 ft,15 ft,Upright;     Spreading,Fall;      Spring;      Winter,Glossy red fruit which persists into winter., , ,Full sun,"4, 5, 6, 7",Prefers well-drained,Bright red flowers with star-shaped white centers. Resistant to leaf spot diseases.
1971,Crimson Curls Heuchera,Heuchera,12 in,15 in,Clump;      Mound,Early summer;      Late summer;      Mid-summer,Highly ruffled purple foliage,Cream,Border,Full sun,"4, 5, 6, 7",Prefers high organic matter, 
133,Crimson Frost Birch,Betula,40 ft,25 ft,Upright;     Pyramidal;     Narrow,Fall;      Winter,Crimson Frost holds its striking red-purple leaf color all summer; attractive exfoliating bark that turns white with a cinnamon hue., , ,Full sun,"4, 5, 6, 7",Prefers evenly-moist;     Tolerates clay;     Tolerates wet,A hybrid of Betula platyphylla szechuanica and Betula pendula purpurea. Tolerant of moist  heavy soils.
155,Crimson Frost Birch,Betula x,35 ft,20 ft,Upright,Fall;      Summer;      Winter,Red/purple leaf color all summer; white/cinnamon bark year round., ,Border,Full sun,"4, 5, 6, 7, 8",Prefers evenly-moist;     Tolerates wet, 
27,Crimson King Maple,Acer platanoides,50 ft,40 ft,Oval, ,Excellent maroon-red in spring;  summer and fall., ,Pollinator garden; Shade tree; Street tree,Part sun,"4, 5, 6, 7",Prefers evenly-moist; Prefers well-drained,Straight trunk and well-shaped crown. Originated as a seedling of 'Schwedleri'. Some winter injury and sunscald possible. 
127,Crimson Pygmy Barberry,Berberis thunbergii,2 ft,3 ft,Compact; Mound; Rounded, ,Burgundy red foliage all season., ,Backdrop; Border; Foundation planting; Hedge; Pollinator garden; Screen,Full sun,"4, 5, 6, 7",Tolerates alkaline,A dwarf selection of Japanese Red Barberry. Place in Full sun for best color. Good for pollinators. Blooms on old wood.
21,Crimson Sentry Maple,Acer platanoides,35 ft,25 ft,Upright, ,Deep purple / bronze fall foliage., ,Pollinator garden; Shade tree; Street tree,Full sun,"4, 5, 6, 7", ,A sport of  'Crimson King'. Slow growth makes it ideal for narrow streets and small yards. Brighter red in spring than 'Crimson King'. 
867,Crimson Spire Oak,Quercus alba x Quercus robar,45 ft,15 ft,Columnar,Fall,Dark blue-green foliage turning red-purple in fall, ,Shade tree,Full sun,"4, ", ,Needs protected location
1412,Crimson Star Columbine,Aquilegia x hybrids,24 in,15 in,Upright;     Clump,Late spring,Large spurred flowers are crimson and white,Red;  White,Border,Full sun;      Part sun,"3, 4, 5, 6, 7, 8, 9, 10",Prefers loam;     Prefers high organic matter;     Prefers evenly-moist, 
1102,Crisp Leaf Spirea,Spiraea xbumalda,3 ft,4 ft,Rounded, ,Pink flower clusters in late June and throughout summer. Summer foliage is red-tinged;  crinkled and twisted.,Pink,Border; Pollinator garden,Full sun; Part sun,"4, 5, 6, 7, 8", ,New growth is an attractive burgundy red. Cut blooms to produce additional blooms. Good for pollinators.
1112,Crispa Cutleaf Stephanandra,Stephanandra incisa,3 ft,5 ft,Rounded, ,Summer flowers are small and yellow-white. Fall foliage is red-orange. Slender branches grow in a zig-zag pattern.,White,Border; Erosion control; Ground cover,Full sun; Part sun,"4, 5, 6, 7",Prefers acidic; Prefers evenly-moist,Native to Japan and Korea. Does well in light shade. Graceful  low spreading plant. New foliage is tinged red-bronze turning bright green as it matures. Excellent for covering banks or cascading over rock .
2010,Cristi Hibiscus,Hibiscus moscheutos,60 in,48 in,Upright,Late summer,"Large 6-8"" diameter flowers in August", , ,Full sun,"4, 5, 6, 7, 8, 9", ,Introduced by Bailey Nurseries bred by Hugh and Ruth Cocker of Rochester MN.  This species is notorious for not breaking bud until early June.
2736,Crow Feather Foamflower,Tiarella,8 in,12 in,Mound,Late spring;      Mid-spring,Bright green leaves cut and marked with black feather in center; cream flowers,White,Border,Part sun,"3, 4, 5, 6, 7, 8", , 
2690,Crown of Rays,Solidago x,24 in,18 in,Clump;      Upright,Early fall;      Late summer;      Mid-summer,Tiny;  bright yellow flowers densely borne on horizontal;  plume-like panicles atop upright;  stiff;  alternate-leaved stems,Gold;  Yellow,Border;      Pollinator garden,Full sun,"2, 3, 4, 5, 6, 7, 8", ,Good for pollinators.
368,Crusader Thornless Cockspur Hawthorn,Crataegus crusgalli var. inermis,15 ft,15 ft,Upright;     Spreading,Fall;      Spring;      Summer,Dark glossy green summer foliage turns orange in fall. Abundant white flowers in early summer followed by small bright red persistent fruit in fall.,White, ,Full sun,"4, 5, 6, 7",Prefers well-drained;      Tolerates dry,Vigorous small ornamental tree. Resists Cedar Apple Rust well.
366,Crusader¨ Hawthorn,Crataegus crus-galli,15 ft,15 ft,Upright;     Spreading,Fall;      Spring;      Summer,Single white flowers in spring;  followed by equally abundant dark red fruit. Orange fall color. Silver gray bark.,White,Screen,Full sun,"4, 5, 6, 7", ,Small thornless tree. Tolerant of urban environments.
248,Crystal Fountain  Clematis,Clematis,10 ft,3 ft,Climbing;     Twining,Summer;     Fall, ,Blue,Focal point;      Fragrance;      Screen,Full sun,"4, 5, 6, 7, 8, 9",Prefers well-drained;     Prefers evenly-moist;     Prefers high organic matter,Early  large flowered cultivar with lilac-blue petals and fountain-like center. (CPBR AF)
2252,Cuckoo Flower,Lychnis flos-cuculi,6 in,6 in,Upright,Early summer;      Late summer;      Mid-summer,"Ground hugging rosette with 2 - 6"" flower stem",Pink,Border;      Erosion control;      Water garden,Full sun;      Part sun,"4, 5, 6, 7, 8", , 
550,Cucumbertree Magnolia,Magnolia acuminata,80 ft,70 ft,Pyramidal, ,"Fragrant spring flowers similar to tulip tree. Small;  pinkish-red ""cucumber"" fruit  for a short time in fall.",White,Shade tree,Full sun; Part sun,"4, 5, 6, 7, 8, 9", ,Good shade tree. Foliage is thick  lustrous; bark is shaggy and furrowed. A deciduous magnolia with large green leaves. Excellent tree for parks or large properties. Plant in protected locations. Winter hardiness may be an issue. Not good for street use or under utility lines. Blooms on old wood.
2787,Culver's Root,Veronicastrum virginicum,60 in,30 in,Clump; Upright,Mid-spring; Early summer; Mid-summer; Late summer,"6 - 9"" slender flower spikes dense with small white flowers.",White,Attract wildlife; Backdrop; Border; Butterfly garden; Foundation planting; Native; Natural planting; Pollinator garden; Prairie planting; Raingarden; Riparian planting,Full sun; Part sun,"3, 4, 5, 6, 7, 8",Prefers evenly-moist; Tolerates wet, 
2329,Cupflower,Nierembergia hippomanica,6 in,12 in,Mound,Early summer;     Late summer;     Mid-summer,Small flowers are white or purple with a golden yellow eye in the center,Purple;  White,Border;     Container,Full sun;     Part sun,Annual,Adaptable,Good for hot areas
1582,Cupid's Dart,Catanache caerulea,24 in,18 in,Rosette;     Upright,Late summer;      Early fall;      Mid-fall,Dainty cornflower-like flowers on stems above rosettes of foliage,Purple,Border;      Cutting,Full sun,"4, 5, 6, 7, 8, 9, 10",Prefers well-drained,Best if divided frequently
2829,Cupplant,Silphium perfoliatum,96 in,24 in,Clump;      Upright,Early fall;      Late summer;      Mid-summer,Yellow daisy-like flowers. Leaves join and form a cup at the stem.,Yellow,Attract wildlife;      Erosion control;      Native;      Natural planting;      Pollinator garden;      Prairie planting;      Raingarden,Full sun;      Part sun,"3, 4, 5, 6, 7, 8",Prefers evenly-moist;      Prefers loam;      Tolerates wet,Cupped leaves at stem hold water for hummingbirds songbirds and butterflies to drink. Goldfinches eat the seeds in the fall.
689,Cupressina Norway Spruce,Picea abies,20 ft,8 ft,Upright;     Columnar,Spring;     Summer;     Fall;     Winter;     Year-round, , , ,Full sun;     Part sun,"4, 5, 6, 7, 8, 9", ,A narrow  pyramidal selection of Norway Spruce with a dense growth habit. Very hardy with dark green foliage.
147,Cut Leaf Weeping Birch,Betula pendula,40 ft,25 ft,Weeping,Fall;      Spring;      Summer;      Winter;      Year-round,Cutleaf foliage turns yellow/gold in fall., ,Street tree,Full sun;      Part sun,"2, 3, 4, 5, 6",Prefers evenly-moist;      Tolerates alkaline,Formerly called Betula pendula laciniata. Good tree for urban landscapes. Immature bark is brown and turns gray-white with black fissures as tree ages.
135,Cut Leaf Weeping Birch or Sweet Birch,Betula lenta,50 ft,45 ft,Weeping,Fall,Fall yellow foliage; red-brown bark., ,Natural planting;      Street tree,Full sun,"4, 5, 6, 7, 8",Prefers acidic;      Prefers evenly-moist, 
934,Cuthbert Grant Rose,Rosa,3 ft,4 ft,Rounded,Summer,Fragrant velvety red blossoms - often compared to hybrid teas - glossy green foliage, ,Border;      Foundation planting;      Fragrance;      Pollinator garden,Full sun,"3, 4, 5, 6, 7",Prefers well-drained;     Prefers evenly-moist;     Prefers high organic matter,Parkland Series rose. Own root. Subject to winter dieback  but renews vigorously in spring. Good for pollinators.
1053,Cutleaf American Elder,Sambucus canadensis,10 ft,12 ft,Rounded,Fall;      Summer,Summer white flowers followed by blue-black edible fruit, ,Attract wildlife;      Pollinator garden,Full sun;      Part sun,"3, 4, 5, 6, 7, 8, 9",Prefers evenly-moist,Good for pollinators.
2586,Cutleaf Coneflower,Rudbeckia laciniata,36 in,36 in,Upright,Mid-summer; Late summer,Flowers with brown centers above dark green lanceolate leaves. Tough long-blooming perennial.,Gold,Border; Cutting; Natural planting; Pollinator garden; Prairie planting,Full sun; Part sun,"3, 4, 5, 6, 7, 8, 9", , 
1130,Cutleaf Lilac,Syringa lanciniata,8 ft,8 ft,Rounded,Spring,Single pale lilac fragrant flowers. Lacy;  small;  lobed foliage.,Lavender,Border;      Hedge;      Pollinator garden,Full sun;      Part sun,"4, 5, 6, 7, 8", ,Good for pollinators.
911,Cutleaf Smooth Sumac,Rhus glabra,12 ft,8 ft,Rounded,Fall,Finely divided leaves and green fruit turn bright red in fall. Smooth branches., ,Border;      Pollinator garden,Full sun,"2, 3, 4, 5, 6, 7",Adaptable,Good for pollinators.
